Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability,Testable commits,Testability_C,Testability_B,Testability_T
jena,Apache,3307,376789.0,9087,913,0.10047320347749532,900,0.9857612267250822,459,0.050511720039617035,0.5027382256297919,0.51
mahout,Apache,4767,92121.0,4499,1550,0.3445210046677039,1404,0.9058064516129032,93,0.020671260280062238,0.06,0.06623931623931624
maven,Apache,6479,62870.0,11377,2872,0.2524391315812604,2515,0.8756963788300836,2418,0.2125340599455041,0.8419220055710307,0.9614314115308151
maven-2,Apache,3185,25569.0,5638,1122,0.19900673997871585,921,0.820855614973262,288,0.05108194395175594,0.25668449197860965,0.3127035830618892
maven-doxia,Apache,5690,33953.0,1744,336,0.1926605504587156,336,1.0,204,0.11697247706422019,0.6071428571428571,0.6071428571428571
maven-integration-testing,Apache,5318,32146.0,2313,624,0.2697795071335927,464,0.7435897435897436,464,0.20060527453523563,0.7435897435897436,1.0
maven-scm,Apache,6109,48819.0,2108,1560,0.7400379506641366,1546,0.9910256410256411,5,0.0023719165085388993,0.003205128205128205,0.003234152652005175
maven-surefire,Apache,6311,65341.0,2992,1138,0.3803475935828877,704,0.6186291739894552,139,0.0464572192513369,0.12214411247803164,0.19744318181818182
openwebbeans,Apache,4560,55484.0,3971,409,0.10299672626542433,295,0.7212713936430318,203,0.051120624527826744,0.4963325183374083,0.688135593220339
qpid-proton,Apache,3355,0.0,4341,2065,0.4756968440451509,2031,0.9835351089588378,14,0.00322506334945865,0.006779661016949152,0.006893156080748399
servicemix4-bundles,Apache,2423,35977.0,7583,1336,0.17618356850850586,0,0.0,0,0.0,0.0,0.0
tiles,Apache,4999,13678.0,1465,830,0.5665529010238908,459,0.553012048192771,443,0.3023890784982935,0.5337349397590362,0.9651416122004357
velocity-engine,Apache,7495,22747.0,4388,863,0.19667274384685507,248,0.287369640787949,0,0.0,0.0,0.0
velocity-tools,Apache,7035,16526.0,1829,584,0.31930016402405687,185,0.3167808219178082,111,0.06068890103881903,0.19006849315068494,0.6
ws-wss4j,Apache,6304,95077.0,2721,358,0.13156927600147006,341,0.952513966480447,2,0.000735023888276369,0.00558659217877095,0.005865102639296188
